;name;adresse;location
0;pole emploi AVS Placement Artistes;10 RUE BRANCION 75015 Paris;pole emploi AVS Placement Artistes 10 RUE BRANCION 75015 Paris
1;Pole emploi Beaumarchais;11 RUE PELEE 75011 Paris;Pole emploi Beaumarchais 11 RUE PELEE 75011 Paris
2;Pole emploi Cardinet;8 RUE Bernard Buffet 75017 Paris;Pole emploi Cardinet 8 RUE Bernard Buffet 75017 Paris
3;pole emploi Armand Carrel;44 RUE Armand Carrel 75019 Paris;pole emploi Armand Carrel 44 RUE Armand Carrel 75019 Paris
4;Pole emploi Vitruve;60 RUE Vitruve 75020 Paris;Pole emploi Vitruve 60 RUE Vitruve 75020 Paris
5;Pole emploi Daviel;27 RUE Daviel 75013 Paris;Pole emploi Daviel 27 RUE Daviel 75013 Paris
6;Pole emploi Laumière;75 AVENUE JEAN JAURES 75019 Paris;Pole emploi Laumière 75 AVENUE JEAN JAURES 75019 Paris
7;Pole emploi Genevoix;11 RUE Maurice Genevoix 75018 Paris;Pole emploi Genevoix 11 RUE Maurice Genevoix 75018 Paris
8;Pole emploi Diderot;3 BOULEVARD Diderot 75012 Paris;Pole emploi Diderot 3 BOULEVARD Diderot 75012 Paris
9;Pole emploi Paul Lelong;4 RUE Paul Lelong 75002 Paris;Pole emploi Paul Lelong 4 RUE Paul Lelong 75002 Paris
10;Pole emploi Vicq d'Azir;26 RUE Vicq d'Azir 75010 Paris;Pole emploi Vicq d'Azir 26 RUE Vicq d'Azir 75010 Paris
11;Pole emploi Brancion;10 RUE Brancion 75015 Paris;Pole emploi Brancion 10 RUE Brancion 75015 Paris
12;Pole emploi Ney;78 BOULEVARD Ney 75018 PARIS;Pole emploi Ney 78 BOULEVARD Ney 75018 PARIS
13;Pole emploi Piat;51 RUE Piat 75020 PARIS;Pôle emploi - Paris 20ème Piat
14;Pole emploi Jean Moulin;9 RUE FRIANT 75014 PARIS;Pole emploi Jean Moulin 9 RUE FRIANT 75014 PARIS
