;"﻿""Code SP+ de la structure""";Intitulé du réseau;Intitulé de la typologie;Intitulé de la structure;Intitulé structure usager;Description de la structure;Identifiant de la structure;Type d'identifiant;Code SP+ structure parent;Intitulé de la structure parente;Adresse;Compléments Adresse;Code postal de la structure;Ville;PAYS;Codes Postaux;Départements;URL du site internet;Boîte à lettre fonctionnelle;Clé de tracking;Actif;Code sp+ de la typologie;INSEE Ville;INSEE Département;INSEE Région;INSEE Arrondissement;search
473;Y5iKbsChwc;POLE EMPLOI;DT POLE EMPLOI;DT 75 PARIS-PE;;DT 75 PARIS-PE;IDF0034;;fShcn1EOkd;DR ILE DE FRANCE-PE;;;75019;PARIS 19;France;;75.0;;;;Oui;wYYbB0zJE3;com75056;dep75;reg11;arr75056-19;POLE EMPLOI PARIS 19 DT 75 PARIS-PE
2032;tTRPeRCsM9;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 11EME BEAUMARCHAIS-PE;;PARIS 11EME BEAUMARCHAIS-PE;IDF0018;;osvAScDjaR;DTD 75 PARIS FORTIUS-PE;;;75011;PARIS 11;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-11;POLE EMPLOI PARIS 11 PARIS 11EME BEAUMARCHAIS-PE
2033;rAATYe7nOH;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 12EME DIDEROT-PE;;PARIS 12EME DIDEROT-PE;IDF0074;;osvAScDjaR;DTD 75 PARIS FORTIUS-PE;;;75012;PARIS 12;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-12;POLE EMPLOI PARIS 12 PARIS 12EME DIDEROT-PE
2035;az2Yad9LIC;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 15EME BRANCION-PE;;PARIS 15EME BRANCION-PE;IDF0039;;1py4sYHPLt;DTD 75 PARIS ALTIUS-PE;;;75015;PARIS 15;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-15;POLE EMPLOI PARIS 15 PARIS 15EME BRANCION-PE
2036;2to09il7wv;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 18EME NEY-PE;;PARIS 18EME NEY-PE;IDF0055;;5Sp452hWas;DTD 75 PARIS CITIUS-PE;;;75018;PARIS 18;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-18;POLE EMPLOI PARIS 18 PARIS 18EME NEY-PE
2037;COPVMWNSht;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 19EME ARMAND CARREL-PE;;PARIS 19EME ARMAND CARREL-PE;IDF0033;;1py4sYHPLt;DTD 75 PARIS ALTIUS-PE;;;75019;PARIS 19;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-19;POLE EMPLOI PARIS 19 PARIS 19EME ARMAND CARREL-PE
2038;pMMAWzJp68;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 20EME PIAT-PE;;PARIS 20EME PIAT-PE;IDF0021;;osvAScDjaR;DTD 75 PARIS FORTIUS-PE;;;75020;PARIS 20;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-20;POLE EMPLOI PARIS 20 PARIS 20EME PIAT-PE
2039;CGgkcfr8IW;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 20EME VITRUVE-PE;;PARIS 20EME VITRUVE-PE;IDF0016;;osvAScDjaR;DTD 75 PARIS FORTIUS-PE;;;75020;PARIS 20;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-20;POLE EMPLOI PARIS 20 PARIS 20EME VITRUVE-PE
2040;Mv2zu1ITpG;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 5 ET 13EME DAVIEL-PE;;PARIS 5 ET 13EME DAVIEL-PE;IDF0067;;1py4sYHPLt;DTD 75 PARIS ALTIUS-PE;;;75013;PARIS 13;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-13;POLE EMPLOI PARIS 13 PARIS 5 ET 13EME DAVIEL-PE
2041;obpcuuKnzT;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 7 8 9EME ST PETERSBOURG-PE;;PARIS 7 8 9EME ST PETERSBOURG-PE;IDF0050;;5Sp452hWas;DTD 75 PARIS CITIUS-PE;;;75008;PARIS 08;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-08;POLE EMPLOI PARIS 08 PARIS 7 8 9EME ST PETERSBOURG-PE
2534;5Sp452hWas;POLE EMPLOI;DTD POLE EMPLOI;DTD 75 PARIS CITIUS-PE;;DTD 75 PARIS CITIUS-PE;IDF1584;;Y5iKbsChwc;DT 75 PARIS-PE;;;75019;PARIS 19;France;;;;;;Oui;XPvSnOu32K;com75056;dep75;reg11;arr75056-19;POLE EMPLOI PARIS 19 DTD 75 PARIS CITIUS-PE
3592;0IMeDWnVn3;POLE EMPLOI;PFP POLE EMPLOI;PTC PARIS-PE;;PTC PARIS-PE;IDF0418;;fShcn1EOkd;DR ILE DE FRANCE-PE;;;75019;PARIS 19;France;;;;;;Oui;ARovVA6I9H;com75056;dep75;reg11;arr75056-19;POLE EMPLOI PARIS 19 PTC PARIS-PE
5490;L8mRmZDT2r;POLE EMPLOI;POLE EMPLOI;DIRECTION GENERALE-PE;;DIRECTION GENERALE-PE;DGE0001;;;;;;75987;PARIS 20;France;;;;;;Oui;5Zc2vucN2E;com75056;dep75;reg11;arr75056-87;POLE EMPLOI PARIS 20 DIRECTION GENERALE-PE
6566;GiUuZ1Oz4B;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 1 2 3 4EME PAUL LELONG-PE;;PARIS 1 2 3 4EME PAUL LELONG-PE;IDF0072;;osvAScDjaR;DTD 75 PARIS FORTIUS-PE;;;75002;PARIS 02;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-02;POLE EMPLOI PARIS 02 PARIS 1 2 3 4EME PAUL LELONG-PE
6569;xaD46VgdZf;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 10EME VICQ D'AZIR-PE;;PARIS 10EME VICQ D'AZIR-PE;IDF0030;;5Sp452hWas;DTD 75 PARIS CITIUS-PE;;;75010;PARIS 10;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-10;POLE EMPLOI PARIS 10 PARIS 10EME VICQ D'AZIR-PE
8301;Av4KGtL6u2;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 16 ET 17EME CARDINET-PE;;PARIS 16 ET 17EME CARDINET-PE;IDF0041;;5Sp452hWas;DTD 75 PARIS CITIUS-PE;;;75017;PARIS 17;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-17;POLE EMPLOI PARIS 17 PARIS 16 ET 17EME CARDINET-PE
8303;7gqaiePS6m;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 18EME GENEVOIX-PE;;PARIS 18EME GENEVOIX-PE;IDF0059;;5Sp452hWas;DTD 75 PARIS CITIUS-PE;;;75018;PARIS 18;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-18;POLE EMPLOI PARIS 18 PARIS 18EME GENEVOIX-PE
8305;4XngkHO49B;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 19EME LAUMIERE-PE;;PARIS 19EME LAUMIERE-PE;IDF0032;;1py4sYHPLt;DTD 75 PARIS ALTIUS-PE;;;75019;PARIS 19;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-19;POLE EMPLOI PARIS 19 PARIS 19EME LAUMIERE-PE
8307;pTBCrEwTwE;POLE EMPLOI;AGENCE POLE EMPLOI (APE);PARIS 6 ET 14EME JEAN MOULIN-PE;;PARIS 6 ET 14EME JEAN MOULIN-PE;IDF0081;;1py4sYHPLt;DTD 75 PARIS ALTIUS-PE;;;75014;PARIS 14;France;;;;;;Oui;VBk7hCR4zw;com75056;dep75;reg11;arr75056-14;POLE EMPLOI PARIS 14 PARIS 6 ET 14EME JEAN MOULIN-PE
8725;1py4sYHPLt;POLE EMPLOI;DTD POLE EMPLOI;DTD 75 PARIS ALTIUS-PE;;DTD 75 PARIS ALTIUS-PE;IDF1583;;Y5iKbsChwc;DT 75 PARIS-PE;;;75019;PARIS 19;France;;;;;;Oui;XPvSnOu32K;com75056;dep75;reg11;arr75056-19;POLE EMPLOI PARIS 19 DTD 75 PARIS ALTIUS-PE
8726;osvAScDjaR;POLE EMPLOI;DTD POLE EMPLOI;DTD 75 PARIS FORTIUS-PE;;DTD 75 PARIS FORTIUS-PE;IDF1585;;Y5iKbsChwc;DT 75 PARIS-PE;;;75019;PARIS 19;France;;;;;;Oui;XPvSnOu32K;com75056;dep75;reg11;arr75056-19;POLE EMPLOI PARIS 19 DTD 75 PARIS FORTIUS-PE
8800;ayJo3nOVE0;POLE EMPLOI;PFP POLE EMPLOI;EMI PARIS-PE;;EMI PARIS-PE;IDF1575;;Y5iKbsChwc;DT 75 PARIS-PE;;;75012;PARIS 12;France;;;;;;Oui;ARovVA6I9H;com75056;dep75;reg11;arr75056-12;POLE EMPLOI PARIS 12 EMI PARIS-PE
9600;4ZphL7RqfI;POLE EMPLOI;AGENCE RELAIS POLE EMPLOI (RPE);CROIX NIVERT-PE;;CROIX NIVERT-PE;PES0054;;TZ0Ldw7gVs;DTC DIRECTION SERVICES AUX D.E.-PE;;;75015;PARIS 15;France;;;;;;Oui;40u6qHhYe2;com75056;dep75;reg11;arr75056-15;POLE EMPLOI PARIS 15 CROIX NIVERT-PE
11154;nFSGviq5fs;POLE EMPLOI;AGENCE SPECIALISEE POLE EMPLOI (APES);AVS PLACEMENT ARTISTES-PE;;AVS PLACEMENT ARTISTES-PE;IDF0082;;Y5iKbsChwc;DT 75 PARIS-PE;;;75015;PARIS 15;France;;;;;;Oui;WlAVseIyJV;com75056;dep75;reg11;arr75056-15;POLE EMPLOI PARIS 15 AVS PLACEMENT ARTISTES-PE
